IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
13.38.145.118,8590,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,857,1.14
35.181.192.175,2087,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,818,1.14
18.158.156.249,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,816,1.12
3.120.144.20,8585,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,837,1.12
34.223.118.242,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,940,1.11
35.157.229.137,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,1.11
35.92.97.197,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,782,1.11
16.63.172.92,8443,TRUE,MXP,IT,Europe,Milan,16509,AMAZON-02,859,1.11
18.237.22.14,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,812,1.11
204.110.221.21,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,749,1.11
13.51.132.60,443,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,910,1.11
13.38.145.118,69,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,813,1.10
52.47.120.131,12534,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,883,1.09
35.180.207.222,55420,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,855,1.07
13.231.159.217,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,304,1.07
13.41.162.153,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,805,1.06
204.110.220.197,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,863,1.06
3.105.5.82,80,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,822,1.05
18.130.141.22,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,846,1.04
204.110.220.11,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,745,1.04
15.237.28.105,52834,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,824,1.02
52.40.59.31,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,769,1.01
13.48.191.24,334,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,939,1.01
3.121.2.140,1724,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,815,1.00
13.229.159.215,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,347,0.97
16.170.172.75,8590,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,912,0.97
204.110.221.36,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,831,0.97
54.92.11.19,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,241,0.96
18.159.225.127,7443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,821,0.94
3.10.202.232,8590,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,897,0.93
35.167.93.200,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,760,0.92
13.51.48.84,2096,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,859,0.90
13.56.207.185,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,683,0.89
3.121.2.140,1727,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,790,0.88
15.236.45.188,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,819,0.87
35.157.229.137,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,791,0.87
35.180.207.222,3000,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,834,0.87
13.51.88.79,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,843,0.87
16.171.144.119,8080,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,869,0.87
18.130.18.90,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,786,0.85
16.16.184.241,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,880,0.85
204.110.221.107,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,804,0.84
18.156.30.219,443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,845,0.83
204.110.221.222,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,839,0.81
35.165.253.141,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,770,0.81
13.60.7.25,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,885,0.80
18.157.184.5,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,786,0.80
204.110.223.104,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,939,0.78
16.170.12.191,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,941,0.78
3.123.4.89,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,850,0.78
3.120.144.20,10713,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,829,0.78
3.66.115.225,443,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,886,0.77
35.180.190.13,443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,950,0.77
52.192.70.199,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,236,0.76
3.10.169.190,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,804,0.75
35.180.207.222,1020,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,861,0.75
204.110.220.89,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,722,0.75
13.42.101.233,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,908,0.74
18.193.64.47,58949,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,0.73
52.58.97.123,8051,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,778,0.73
16.16.66.33,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,880,0.72
13.43.218.87,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,794,0.72
15.237.28.105,42585,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,852,0.72
15.237.36.251,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,870,0.71
67.226.222.164,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,945,0.71
52.57.10.80,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,786,0.70
16.171.236.53,443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,853,0.70
67.226.222.120,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,953,0.70
204.110.220.11,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,905,0.70
35.180.207.222,18115,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,839,0.70
35.80.38.0,34237,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,769,0.70
35.180.207.222,30291,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,854,0.70
3.98.54.22,2053,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,929,0.70
13.41.92.141,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,816,0.69
44.240.32.177,16010,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,785,0.69
13.36.211.140,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,803,0.68
204.110.221.189,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,738,0.67
13.40.4.246,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,843,0.66
204.110.220.1,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,720,0.62
35.181.9.37,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,791,0.61
204.110.221.44,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,775,0.60
18.169.194.180,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,824,0.60
204.110.223.35,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,954,0.58
3.143.106.216,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,985,0.58
204.110.223.174,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,972,0.58
50.18.133.190,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,710,0.58
35.182.7.190,443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,916,0.58
67.226.222.99,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,960,0.58
204.110.223.187,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,938,0.58
54.187.109.16,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,806,0.58
13.56.14.114,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,683,0.58
204.110.223.27,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,945,0.58
204.110.223.187,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,937,0.58
204.110.223.175,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,958,0.58
67.226.222.122,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,944,0.58
204.110.223.205,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,946,0.58
204.110.223.138,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,903,0.58
204.110.220.57,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,742,0.58
204.110.223.210,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,927,0.58
204.110.223.59,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,936,0.58
204.110.223.210,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,981,0.58
35.167.93.200,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,786,0.58
18.216.55.100,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,944,0.58
204.110.223.232,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,923,0.58
204.110.223.68,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,930,0.58
204.110.223.18,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,941,0.58
204.110.223.205,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,950,0.58
35.182.64.64,443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,896,0.58
204.110.223.19,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,953,0.58
204.110.220.254,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,768,0.58
67.226.223.121,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,931,0.58
204.110.223.226,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,948,0.58
35.86.119.120,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,745,0.58
204.110.223.232,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,928,0.58
67.226.222.253,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,946,0.58
204.110.223.110,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,929,0.57
204.110.223.11,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,936,0.57
35.176.229.223,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,828,0.57
16.170.113.120,8443,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,938,0.57
18.222.163.212,8443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,975,0.57
204.110.223.219,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,932,0.57
204.110.223.137,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,954,0.56
13.60.4.8,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,911,0.56
3.9.132.15,69,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,856,0.56
18.133.3.17,2087,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,824,0.56
3.8.148.82,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,824,0.56
52.197.64.73,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,228,0.56
67.226.222.133,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,935,0.55
204.110.223.87,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,948,0.55
13.48.191.24,8590,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,908,0.55
3.97.14.70,443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,920,0.55
3.135.41.11,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,956,0.55
52.53.250.40,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,703,0.55
35.182.97.8,80,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,880,0.55
18.217.204.236,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,945,0.55
3.10.202.232,69,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,834,0.55
35.182.7.190,80,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,911,0.54
18.133.3.17,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,824,0.54
67.226.222.7,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,948,0.54
204.110.223.125,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,924,0.54
16.170.113.120,80,TRUE,WAW,PL,Europe,Warsaw,16509,AMAZON-02,980,0.54
67.226.222.252,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,915,0.52
3.135.201.228,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,986,0.52
15.237.28.105,27664,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,838,0.52
13.41.112.160,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,897,0.51
67.226.222.100,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,902,0.51
67.226.222.223,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,928,0.51
13.41.112.160,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,818,0.50
13.40.4.246,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,785,0.50
15.222.245.142,8443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,892,0.50
13.38.117.229,24268,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,807,0.50
204.110.220.97,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,745,0.50
204.110.221.71,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,778,0.49
51.20.74.219,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,895,0.48
15.237.28.105,57376,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,803,0.48
13.250.22.76,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,327,0.48
18.100.124.0,8443,TRUE,MAD,ES,Europe,Madrid,16509,AMAZON-02,945,0.48
3.10.169.190,2053,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,831,0.47
16.16.124.49,8443,TRUE,OSL,NO,Europe,Oslo,16509,AMAZON-02,934,0.45
18.133.3.17,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,867,0.44
3.8.198.152,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,834,0.44
3.105.5.84,80,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,922,0.42
3.69.101.200,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,817,0.38
204.110.221.34,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,743,0.38
52.74.101.26,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,404,0.38
18.169.165.97,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,866,0.36
52.24.42.114,2087,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,810,0.35
54.169.229.188,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,326,0.34
18.100.124.0,2053,TRUE,MAD,ES,Europe,Madrid,16509,AMAZON-02,935,0.33
18.130.249.35,2096,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,830,0.32
52.58.97.123,8880,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,832,0.32
3.10.169.233,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,859,0.32
67.226.222.44,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,924,0.31
54.201.19.60,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,778,0.30
13.57.182.91,443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,686,0.29
67.226.222.38,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,904,0.29
3.138.59.154,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,966,0.29
184.169.181.217,443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,701,0.29
67.226.222.160,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,926,0.29
204.110.223.3,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,893,0.29
204.110.223.112,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,923,0.29
18.223.211.249,8443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,943,0.29
67.226.222.185,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,940,0.29
204.110.223.35,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,962,0.29
204.110.221.241,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,756,0.29
204.110.221.210,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,794,0.29
204.110.223.24,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,961,0.29
67.226.222.249,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,919,0.29
204.110.223.204,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,927,0.29
204.110.223.138,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,960,0.29
204.110.221.27,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,959,0.29
204.110.223.40,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,899,0.29
3.146.206.162,8444,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,980,0.28
3.105.5.84,443,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,721,0.28
204.110.223.173,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,940,0.28
18.197.96.21,334,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,840,0.28
18.222.163.212,2053,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,960,0.28
67.226.222.2,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,939,0.28
35.183.163.195,80,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,910,0.27
13.52.251.56,8444,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,711,0.27
52.56.167.181,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,850,0.26
52.197.64.73,4243,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,238,0.25
3.134.133.1,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,939,0.25
52.15.213.62,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,936,0.25
18.217.171.210,2083,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,941,0.24
18.224.66.130,4242,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,962,0.22
18.217.171.210,8443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,960,0.19
13.57.241.143,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,707,0.19
3.110.28.39,6789,TRUE,BOM,IN,Asia Pacific,Mumbai,16509,AMAZON-02,621,0.18
35.176.229.223,80,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,790,0.18
67.226.222.51,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,925,0.17
18.130.185.72,2096,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,858,0.16
44.240.32.177,30595,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,785,0.16
35.162.127.228,12342,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,860,0.15
34.214.91.72,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,772,0.14
204.110.221.25,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,792,0.14
204.236.186.113,80,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,710,0.14
13.52.251.56,8443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,688,0.14
204.110.223.68,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,966,0.14
52.197.64.73,1,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,239,0.14
3.134.133.1,2053,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,953,0.14
67.226.222.171,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,915,0.14
18.224.86.150,8443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,969,0.14
67.226.222.2,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,928,0.14
18.158.211.32,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,870,0.12
54.213.214.160,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,855,0.12
16.63.172.92,2096,TRUE,MXP,IT,Europe,Milan,16509,AMAZON-02,824,0.08
18.162.40.255,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,222,0.08
3.67.232.136,443,TRUE,AMS,NL,Europe,Amsterdam,16509,AMAZON-02,910,0.06
67.226.222.3,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,994,0.06
3.11.133.188,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,860,0.06
35.178.6.25,443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,825,0.06
43.205.48.107,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,770,0.06
43.204.80.35,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,825,0.06
204.110.221.129,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,774,0.05
204.110.223.7,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,922,0.05
54.71.238.195,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,782,0.05
44.226.147.29,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,756,0.05
204.110.223.201,80,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,912,0.04
204.110.221.188,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,802,0.04
44.230.218.23,443,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,779,0.04
35.178.96.204,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,830,0.03
18.191.122.211,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,933,0.03
3.10.245.25,80,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,797,0.03
3.105.5.80,80,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,575,0.03
35.183.163.195,443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,869,0.03
18.189.94.250,443,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,916,0.03
204.110.221.1,80,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,744,0.01
54.79.133.41,443,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,629,0.01
3.104.223.171,2053,TRUE,SYD,AU,Oceania,Sydney,16509,AMAZON-02,856,0.01
3.98.54.22,8443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,925,0.01
